Fresh,Milk,Grocery,Frozen,Detergents_Paper,Delicatessen
5.72,NA,2.72,0.75,0.72,NA
5.59,2.87,3.52,0.67,1.61,4.15
6.91,2.42,6.42,2.57,4.83,4.69
5.93,3.15,3.64,1.82,4.86,9.53
6.07,3.35,3.93,1.38,14.46,11.13
7.03,NA,6.74,2.64,0.13,NA
6.27,2.59,4.49,1.54,5.68,8.66
4.68,2.89,1.64,0.13,8.22,3.74
6.1,3.8,2.38,0.46,9.2,2.15
5.89,3.87,2.97,0.67,4.96,8.49
6.42,2.2,6.07,1.92,2.03,6.43
5.71,2.68,4.45,1.66,4.74,7.56
6.17,2.66,4.5,1.31,12.76,3.68
5.39,3.1,4.07,1.56,6.93,13.18
5.05,NA,2.88,0.88,3.18,NA
8.06,3.68,6.8,2.09,10.69,4.5
5.86,NA,4.67,1.74,7.16,8.81
4.53,NA,0.35,0.49,4.87,1.14
6.22,2.92,5.04,1.76,4.93,5.45
5.53,3.31,2.94,0.83,4.4,11.61
4.92,2.77,1.95,0.26,6.03,5.24
5.99,3.02,3.22,1.07,2.98,9.64
4.84,3.13,2.04,0.44,6.11,5.11
5.12,3.64,2.53,0.81,1.27,3.19
5.48,3.82,2.7,0.69,5.8,2.48
4.26,2.85,0.94,0.19,9.43,6.89
6.04,2.84,5.4,1.83,7.04,11.79
5.43,2.38,4.14,1.42,9.13,3.63
4.89,NA,1.83,0.31,0.64,NA
6.38,NA,6.05,2.24,5.22,2.14
5.09,2.71,4.74,1.96,7.47,1.93
5.84,3.08,3.3,0.62,0.73,2.89
6.88,3.43,5.28,1.73,11.26,11.48
6.91,2.65,5.18,1.67,0.86,9.76
6.47,NA,5.13,1.99,5.66,8.37
6.23,2.97,4.86,2.11,5.61,10.46
5.47,2.59,4.91,1.89,5.49,4.3
6.14,NA,3.69,0.67,4.16,9.04
5.39,3.08,3.32,0.96,6.8,6.84
5.39,NA,3.07,1.2,0.88,NA
5.48,NA,2.39,0.85,0.16,NA
5.63,2.94,3.41,1.04,2.38,NA
4.53,2.74,1.56,0.44,4.77,6.82
7.39,2.66,7.54,2.95,10.03,4.71
6.35,NA,6.05,2.08,11.35,2.01
4.53,NA,1.89,0.58,6.28,2.36
5.33,NA,3.03,1.07,6.53,7.7
5.69,3.33,2.83,0.97,4.03,4.82
5.51,NA,5.29,2.27,5.19,8.2
5.86,3.26,3.55,1.25,0.62,0.18
6.01,NA,4.24,1.35,6.16,0.99
5.52,2.4,3.9,0.87,2.86,NA
5.46,2.54,3.7,1.37,6.34,0.35
7.18,NA,6.18,1.97,3.62,NA
5.91,3.46,3.36,0.89,2.35,9.13
7.53,NA,6.25,2.25,4.12,9.6
4.68,NA,1.12,0.19,3.53,NA
6.31,2.8,4.83,1.46,9.38,4.91
5.79,2.93,4.09,1.13,5.84,1.46
5.63,3.02,4.17,1.66,6.73,7.27
6.17,3.36,4.36,1.67,0.04,5.88
5.87,NA,2.75,0.79,10.99,2.52
5.56,2.44,3.19,0.79,5.64,2.9
5.01,NA,1.97,0.41,1.57,NA
5.64,3.68,1.68,0.36,6.24,7.75
5.99,3.15,4.43,1.21,8.48,8.28
6.57,3.2,4.47,1.38,0.53,7.51
6.23,4.12,3.71,1.48,11.76,2.63
6.56,2.76,5.34,1.93,4.37,1.14
7.53,2.59,7.42,2.38,9.48,8.12
5.51,3.18,2.92,0.75,5.29,5.29
4.17,3.27,0.23,0.77,3.67,5.84
6.33,2.54,5.53,2.12,2.34,10.13
5.27,NA,2.44,0.87,0.6,NA
5.51,3.42,2.44,0.82,4.83,10.58
7.05,NA,5.56,1.54,8.31,4.35
5.66,3.17,3.22,1.07,2.53,NA
4.84,3.15,1.56,0.49,10.5,5.18
6.55,3.15,3.95,1.1,10.6,7.56
5.62,NA,3.56,1.17,0.43,NA
5.35,NA,3.95,1.23,6.89,2.4
5.76,3.45,4.53,1.75,0.87,4.87
5.8,3.36,3,1.01,4.5,4.17
6.38,3.07,4.9,1.62,8.71,3.97
5.31,NA,3.45,1.12,8.47,7.82
5.96,2.75,4.29,1.63,1.6,NA
6.59,2.08,5.71,1.84,3.45,8.75
6.46,2.58,4.4,1.43,1.1,7.94
5.4,3.04,3.34,0.76,6.36,8.58
6.96,NA,5.74,1.9,1.24,NA
6.38,NA,5.56,1.97,5.52,0.95
6.79,2.76,4.59,1.33,10.88,6.02
6.67,3.33,4.11,0.96,14.09,12.52
5.55,2.9,2.58,0.67,3.18,4.08
6.08,2.27,6.32,2.46,8.04,7.81
5.33,NA,2.73,0.65,4.97,6.57
7.25,2.1,7.66,2.79,10.9,8.23
6.85,NA,6.5,2.34,7.22,4.91
5.96,3.22,3.22,1.06,5.81,3.41
5.15,3.3,1.89,0.53,2.2,6.29
5.02,3.67,2.54,1,9.33,6.83
6.42,2.94,4.07,1.32,3.6,NA
5.5,2.78,3.36,1.03,0.61,NA
6.09,3.43,2.98,0.9,4.19,7.65
4.58,3.19,2.23,0.69,4.49,2.9
5.73,2.55,3.62,1.26,9.24,10.56
5.66,3.61,2.27,0.56,0.33,14.8
4.31,3.21,0.83,0.21,2.77,11.91
4.94,2.08,3.28,0.84,10.95,4.18
6.42,NA,5.39,2.08,10.43,1.29
5.07,2.93,2.77,1,9.65,6.22
6.65,3.13,4.86,1.27,11.65,9.52
4.23,NA,0.98,0.17,5.82,9.11
5.78,2.92,3.65,1.18,2.67,1.08
5.51,2.56,5.02,1.38,7.22,1.55
